domain,nb
katalog.geo.gr.ch,50
bloxflip.com,50
www.uragentzia.euskadi.eus,50
data.novascotia.ca,50
data.ru.nl,50
genomebiology.biomedcentral.com,49
tore.tuhh.de,49
rain.gg,49
purl.agrold.org,49
cstr.cn,49
www.sib.swiss,49
a315-2804-1b1-b081-ef9-3821-b6dd-f65d-1a34.ngrok-free.app,49
growdrop.cc,48
www.teachingcouncil.ie,48
freeshib.in,48
ssjda.iss.u-tokyo.ac.jp,48
www.ur.ch,48
ipt.ibbr.cnr.it,48
www.umweltbundesamt.de,48
joinup.ec.europa.eu,48
snig.dgterritorio.gov.pt,48
services-eu1.arcgis.com,48
opengeodata.wmr.wur.nl,48
woudc.org,48
wormbase.org,48
www.business-inform.net,48
www.sfpa.ie,48
sios-svalbard.org,48
deims.org,48
scripts.iucr.org,48
fairsharing.github.io,48
enciklopedija.lv,48
www.addgene.org,48
www.econa.org.ua,48
www.go-fair.org,48
rest.uniprot.org,48
repository.clarin.lv,48
repository.acropolis-education.gr,48
apps.agroscope.info,48
www.orphadata.com,48
lod.nl.go.kr,48
dialnet.unirioja.es,48
euhubs4data.eu,48
gitlab.ifremer.fr,48
www.openml.org,48
managementjournal.usamv.ro,48
www.dbpedia.org,48
www.waldbrandgefahr.ch,48
www.opgc.fr,48
australianbiocommons.github.io,48
massive.ucsd.edu,48
www.inrae.fr,48
www.euskoos.eus,48
bccm.belspo.be,48
biosustain.benchling.com,48
citeseerx.ist.psu.edu,47
geneontology.org,47
dgarijo.github.io,47
www.phylogeny.fr,46
www.worldscientific.com,46
argos.openaire.eu,46
d1wqtxts1xzle7.cloudfront.net,46
www.aclweb.org,46
front-sci.com,46
papers.ssrn.com,46
epubs.siam.org,46
motu-tool.org,46
www.sciepub.com,46
www.academia.edu,46
halo-db.pa.op.dlr.de,45
gis-stg.epa.ie,45
catalogue.cdata.cerema.fr,45
www.jneurosci.org,45
rpredictor.ms.mff.cuni.cz,45
hal.inrae.fr,45
elifesciences.org,45
www.crop-diversity.org,45
youtu.be,45
genomicus.bio.ens.psl.eu,45
www.datajoule.fr,44
bac-dataverse.univ-lorraine.fr,44
catalogo.igme.es,44
dati.cittametropolitana.na.it,44
www.iresite.org,44
direct.mit.edu,44
vm-chemflow-francegrille.eu,44
160.217.213.66:9510,44
www.elixir-czech.cz,44
www.plumed-nest.org,44
globalfungi.com,44
www.foodie-cloud.org,44
data.allie.dbcls.jp,44
dati.camera.it,44
cnecovid.isciii.es,44
info.igme.es,44
datelazi.ro,44
data.marine.copernicus.eu,44
ssa.sidc.be,44
iresite.org,44
beta.flymine.org:8080,44
solarnet.oma.be,44
coronadashboard.government.nl,44
www.gasnetworks.ie,44
jbiomedsem.biomedcentral.com,44
mole.upol.cz,44
pisa.nib.si,44
databus.openenergyplatform.org,42
erepository.kibu.ac.ke,42
ipt.vliz.be,42
crc1625.mdi.ruhr-uni-bochum.de,41
www.agriculture.gov.ie,40
roadmanagement.maps.arcgis.com,40
art-decor.org,39
git.dcc.sib.swiss,39
dsw.france-bioinformatique.fr,39
www.lwetb.ie,38
hibc.rwth-aachen.de,37
example.com,37
mobyle.rpbs.univ-paris-diderot.fr,37
dspace.ut.ee,37
indores-tmp.in2p3.fr,37
www.bexis.uni-jena.de,37
geosas.fr,37
data.gov.tw,37
data.datahub.kr,37
ftp.ncbi.nlm.nih.gov,37
www.genome.gov,36
core.tdar.org,36
kartkatalog.geonorge.no,36
google.com,36
garamantas.lv,36
host.robots.ox.ac.uk,36
journals.uran.ua,36
landreclamationjournal.usamv.ro,36
gist.githubusercontent.com,36
beatrizolarte.github.io,36
dhlab.epfl.ch,36
services.arcgis.com,36
ei-journal.com,36
data.ampmetropole.fr,36
ojs.ukrlogos.in.ua,36
economyandsociety.in.ua,36
echa.europa.eu,36
search.unhide.helmholtz-metadaten.de,36
allantsouza.shinyapps.io,36
opendata.nas.gov.ua,36
www.blv.admin.ch,36
orbi.uliege.be,36
www.abromics.fr,36
www.bibliosurf.com,36
pay.be10x.in,36
www.e-rara.ch,36
www.monmouth.edu,36
dome40.eu,36
dcase.community,36
pmc.ncbi.nlm.nih.gov,36
amu.hal.science,36
www.vs.ch,36
api.gbif.org,36
api.oireachtas.ie,36
sibils.text-analytics.ch,36
odissei.triply.cc,36
spsp.ch,36
dataverse.eosc.dansdemo.nl,36
dafm-maps.marine.ie,36
www.lfi.ch,36
litp.kubg.edu.ua,36
www.literatura.lv,36
www.livivo.de,36
tta.org.ua,36
map.geo.admin.ch,36
catalog.mirri.org,36
catalog.liha-pres.eu,36
www.strompreis.elcom.admin.ch,36
mediadive.dsmz.de,36
thredds.socib.es,36
www.data.gov.cy,36
bugsigdb.org,36
www.cs.toronto.edu,36
datahub.io,36
www.tailte.ie,36
emmo.info,36
vizier.cds.unistra.fr,36
zbmed-semtec.github.io,36
vsso.nssdc.ac.cn,36
radiantearth.github.io,36
scholar.google.com,35
terra-vocabulary.org,35
bitbucket.org,35
www.kdd.org,35
www.covid19dataportal.it,35
fair.healthinformationportal.eu,35
doi.ipk-gatersleben.de,35
www.genenames.org,35
www.cs.cmu.edu,35
chemrxiv.org,35
elixir-europe.org,35
www.jmlr.org,35
hal.inria.fr,34
www.crystallography.net,34
data.nantesmetropole.fr,34
nextstrain.org,34
italiaiswet.it,34
wikidata.org,34
blast.ncbi.nlm.nih.gov,34
www.metanetx.org,34
www.irrodl.org,34
data.usgs.gov,34
usegalaxy.eu,34
weakg.i3s.unice.fr,34
viaf.org,33
registry.identifiers.org,33
gotriple.eu,33
ptb.de,33
agrold.southgreen.fr,33
biomedit.ch,33
www.gotriple.eu,33
clara.univ-nantes.fr,33
rise-usbr.opendata.arcgis.com,33
atom.geo.admin.ch,33
www.ait.ie,33
www.eea.europa.eu,33
zudusilatvija.lv,33
fr.wikipedia.org,33
data.gov.cz,33
www.immport.org,33
faircookbook.elixir-europe.org,33
gingembre.org,33
fdp.x-omics.nl,33
www.ehistory.go.kr,32
asap.epfl.ch,30
www.debra.org.uk,30
www.healthybrainstudy.nl,30
data.npolar.no,29
www.vodan-totafrica.info,29
bio-bigdata.hrbmu.edu.cn,28
cera-www.dkrz.de,28
data.humdata.org,28
soskin.info,27
data.sciencespo.fr,27
fair-center.bitp.kyiv.ua,27
opendata.ostschweiz.ch,27
r2.donnu.edu.ua,27
epncb.oma.be,27
rsat.sb-roscoff.fr,26
www.gisaid.org,26
seamless.rpbs.univ-paris-diderot.fr,26
www.transportdata.be,26
www.annualreviews.org,26
gtexportal.org,26
r3lab.uni.lu,26
www.cheminfo.org,26
freebitco.in,26
bioserv.rpbs.univ-paris-diderot.fr,26
www.cogconsortium.uk,26
lo144.nakalona.fr,26
glis.fao.org,26
erosdock.loria.fr,26
www.ich-tanke-strom.ch,26
www.allocine.fr,26
tubic.tju.edu.cn,26
jaspar.genereg.net,26
vaccelerate.eu,25
www.arca.fiocruz.br,25
digital.csic.es,25
purr.purdue.edu,25
cdm21053.contentdm.oclc.org,25
d35p9e4fm9h3wo.cloudfront.net,25
